Manager,Date,Agent Group,Agent Name,Interaction Type,Accepted,Rejected,Short,Engage Time,Hold Time,Wrap Time,Handle Time,Handle Time Minutes,Avg Engage Time,Avg Hold Time,Avg Wrap Time,Avg Handle Time,Engage Time %
Manager1,7/10/2019,Queue1,Agent2,Inbound,197,0,0,15:36:40,09:14:08,03:35:43,28:54:51,1734.85,00:04:45,00:03:17,00:01:08,00:08:48,34.57%
Manager1,7/10/2019,Queue1,Agent2,Internal,4,0,0,00:20:47,00:02:29,00:04:02,00:27:18,27.30,00:05:12,00:02:29,00:01:01,00:06:50,0.77%
Manager1,7/10/2019,Queue1,Agent2,Outbound,21,0,0,02:19:39,00:59:37,00:32:52,04:21:39,261.65,00:06:39,00:04:35,00:01:56,00:10:28,5.15%
Manager1,7/10/2019,Queue1,Agent8,Inbound,102,0,0,19:00:47,05:50:22,01:33:57,26:46:35,1606.58,00:11:11,00:03:54,00:00:56,00:15:18,42.38%
Manager1,7/10/2019,Queue1,Agent8,Internal,8,0,0,00:57:18,00:06:11,00:06:56,01:10:25,70.42,00:07:10,00:03:06,00:00:52,00:08:48,2.13%
Manager1,7/10/2019,Queue1,Agent8,Outbound,15,0,0,02:14:05,00:31:32,00:11:40,03:14:15,194.25,00:08:56,00:03:09,00:00:50,00:12:08,4.98%
Manager2,7/10/2019,Queue1,Agent12,Inbound,171,0,0,18:28:58,08:08:40,02:44:34,30:08:41,1808.68,00:06:29,00:03:07,00:00:59,00:10:24,41.02%
Manager2,7/10/2019,Queue1,Agent12,Internal,4,0,0,00:23:14,00:01:44,00:04:03,00:29:01,29.02,00:05:49,00:01:44,00:01:01,00:07:15,0.86%
Manager2,7/10/2019,Queue1,Agent12,Outbound,15,0,0,02:08:26,00:50:00,00:13:54,03:53:58,233.97,00:08:34,00:04:10,00:01:00,00:13:46,4.75%
Manager2,7/10/2019,Queue1,Agent13,Inbound,207,0,0,14:27:14,08:44:58,03:13:45,26:49:21,1609.35,00:04:11,00:02:51,00:00:58,00:07:42,33.70%
Manager2,7/10/2019,Queue1,Agent13,Internal,8,0,0,00:18:55,00:01:12,00:08:05,00:54:32,54.53,00:02:22,00:01:12,00:01:01,00:06:04,0.74%
Manager2,7/10/2019,Queue1,Agent13,Outbound,13,0,0,01:34:19,00:31:30,00:12:44,02:37:35,157.58,00:07:15,00:03:09,00:00:59,00:09:51,3.67%
Manager2,7/10/2019,Queue1,Agent16,Inbound,172,0,0,16:20:31,12:26:29,02:49:41,31:51:01,1911.02,00:05:42,00:04:55,00:01:00,00:10:59,34.81%
Manager2,7/10/2019,Queue1,Agent16,Internal,1,0,0,00:00:00,00:00:00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,00:00:00,00:00:00,0.00%
Manager2,7/10/2019,Queue1,Agent16,Outbound,13,0,0,01:30:49,01:37:32,00:10:03,03:32:09,212.15,00:06:59,00:07:30,00:01:00,00:13:16,3.22%
Manager3,7/10/2019,Queue2,Agent29,Inbound,165,0,0,13:21:12,11:57:04,02:41:28,28:12:53,1692.88,00:04:51,00:04:39,00:00:59,00:10:16,30.95%
Manager3,7/10/2019,Queue2,Agent29,Internal,2,0,0,00:06:40,00:05:42,00:02:01,00:14:23,14.38,00:03:20,00:02:51,00:01:01,00:07:12,0.26%
Manager3,7/10/2019,Queue2,Agent29,Outbound,13,0,0,01:39:54,00:54:59,00:11:16,02:55:48,175.80,00:07:41,00:04:14,00:00:56,00:12:33,3.86%
Manager3,7/10/2019,Queue2,Agent30,Inbound,119,1,2,10:18:15,06:27:16,01:46:30,18:42:02,1122.03,00:05:12,00:03:43,00:00:55,00:09:26,20.48%
Manager3,7/10/2019,Queue2,Agent30,Internal,7,0,0,00:13:10,00:07:56,00:04:46,00:25:52,25.87,00:01:53,00:03:58,00:00:41,00:03:42,0.44%
Manager3,7/10/2019,Queue2,Agent30,Outbound,19,0,0,01:50:09,00:52:49,00:15:58,03:10:22,190.37,00:05:48,00:03:31,00:00:53,00:10:01,3.65%
Manager4,7/10/2019,Queue2,Agent35,Inbound,109,0,0,15:21:22,03:03:13,01:33:48,20:19:52,1219.87,00:08:27,00:03:24,00:00:53,00:10:59,43.33%
Manager4,7/10/2019,Queue2,Agent35,Internal,3,0,0,00:28:44,00:00:00,00:03:02,00:31:46,31.77,00:09:35,00:00:00,00:01:01,00:10:35,1.35%
Manager4,7/10/2019,Queue2,Agent35,Outbound,17,0,2,01:42:58,00:03:56,00:12:44,02:41:20,161.33,00:06:03,00:00:59,00:00:48,00:08:58,4.84%
Manager4,7/10/2019,Queue2,Agent36,Inbound,115,0,0,13:48:59,06:58:28,01:49:40,22:47:45,1367.75,00:07:13,00:04:39,00:01:00,00:11:47,31.49%
Manager4,7/10/2019,Queue2,Agent36,Internal,3,0,0,00:04:30,00:03:05,00:03:01,00:10:36,10.60,00:01:30,00:01:33,00:01:00,00:03:32,0.17%
Manager4,7/10/2019,Queue2,Agent36,Outbound,16,0,1,01:27:21,00:56:05,00:11:02,02:40:05,160.08,00:05:28,00:06:14,00:01:00,00:09:25,3.32%
Manager5,7/10/2019,Queue3,Agent45,Inbound,105,0,0,13:52:50,09:53:49,01:32:53,25:59:40,1559.67,00:07:56,00:06:00,00:00:55,00:14:43,36.66%
Manager5,7/10/2019,Queue3,Agent45,Internal,3,0,0,00:12:02,00:18:37,00:03:00,00:33:39,33.65,00:04:01,00:06:12,00:01:00,00:11:13,0.53%
